,Gn,mean,std,percentile_rank
5938,G6PC3,784.267,0.0,98.44671440606572
2191,CAP1,783.172,0.0,98.44144903117102
6807,H4C9,781.493,0.0,98.43618365627633
8319,KRTAP1-1,781.162,0.0,98.43091828138164
14441,SERPING1,779.141,0.0,98.42565290648693
6786,H2BC14,778.772,0.0,98.42038753159224
6794,H2BC9,777.922,0.0,98.41512215669755
3266,CLU,771.155,0.0,98.40985678180286
9939,MTRNR2L4,768.223,0.0,98.40459140690817
7080,HNRNPC,767.979,0.0,98.39932603201348
16917,TNNI3,764.777,0.0,98.39406065711879
13673,RNASE1,763.672,0.0,98.3887952822241
6793,H2BC8,763.517,0.0,98.3835299073294
16516,TLN1,762.119,0.0,98.37826453243471
13874,RPL4,761.937,0.0,98.37299915754002
13877,RPL7,761.893,0.0,98.36773378264533
6787,H2BC15,757.58,0.0,98.36246840775064
17031,TPT1,756.852,0.0,98.35720303285595
10520,NME2,753.915,0.0,98.3493049705139
10521,NME2P1,753.915,0.0,98.3493049705139
6785,H2BC13,750.959,0.0,98.34140690817186
7094,HNRNPU,745.813,0.0,98.33614153327717
1527,BGN,745.637,0.0,98.33087615838248
13211,RACK1,742.861,0.0,98.32561078348778
17975,WDR1,740.039,0.0,98.32034540859308
13944,RPS7,739.531,0.0,98.3150800336984
7246,HSPB6,736.599,0.0,98.3098146588037
13916,RPS20,736.566,0.0,98.30454928390901
7053,HMGCS2,734.152,0.0,98.29928390901432
4669,ECHS1,733.663,0.0,98.29401853411963
13904,RPS11,733.007,0.0,98.28875315922494
14467,SETSIP,732.798,0.0,98.2808550968829
14453,SET,732.798,0.0,98.2808550968829
13461,REG1A,731.907,0.0,98.27295703454087
12660,PRDX5,731.245,0.0,98.26769165964616
4932,ENO3,730.589,0.0,98.26242628475147
13870,RPL38,730.425,0.0,98.25716090985678
13854,RPL27A,728.964,0.0,98.25189553496209
8397,KRTAP9-8,727.194,0.0,98.2466301600674
17082,TREML1,726.388,0.0,98.2413647851727
3650,CRYGB,726.246,0.0,98.23609941027802
12071,PIP,725.919,0.0,98.23083403538332
3707,CST2,725.349,0.0,98.22556866048863
13910,RPS16,722.456,0.0,98.22030328559393
13929,RPS4X,721.612,0.0,98.21503791069924
8238,KNG1,720.888,0.0,98.20977253580455
12136,PLA2G2E,720.835,0.0,98.20450716090986
11791,PDIA6,719.186,0.0,98.19924178601516
961,ARHGDIB,718.546,0.0,98.19397641112047
15609,SRSF1,718.35,0.0,98.18871103622578
15833,SUB1,715.69,0.0,98.18344566133108
11618,PCBP1,714.567,0.0,98.17818028643639
12667,PRELP,712.775,0.0,98.1729149115417
3503,COX6C,711.938,0.0,98.167649536647
13845,RPL21,709.641,0.0,98.16238416175231
13878,RPL7A,706.938,0.0,98.15711878685762
17827,VDAC2,706.768,0.0,98.15185341196293
13925,RPS28,706.376,0.0,98.14658803706824
13864,RPL36,705.872,0.0,98.14132266217355
13863,RPL35A,704.558,0.0,98.13605728727886
864,APOE,704.424,0.0,98.13079191238417
774,ANXA4,703.949,0.0,98.12552653748948
6673,GSTO1,703.187,0.0,98.12026116259477
447,AGXT,701.79,0.0,98.11499578770008
13945,RPS8,699.594,0.0,98.10973041280539
2905,CES1,697.652,0.0,98.1044650379107
12463,PPA1,694.856,0.0,98.099199663016
891,AQP4,691.864,0.0,98.0939342881213
16550,TMA7,691.798,0.0,98.08866891322661
7324,IDH2,688.865,0.0,98.08340353833192
6789,H2BC18,685.964,0.0,98.07813816343723
4812,EIF4A1,685.478,0.0,98.07287278854254
5206,FABP4,684.167,0.0,98.06760741364785
4505,DPYSL2,682.887,0.0,98.06234203875316
5687,FKBP1A,678.936,0.0,98.05707666385847
13844,RPL19,674.879,0.0,98.05181128896378
8268,KRT14,673.169,0.0,98.04654591406909
3261,CLTA,672.209,0.0,98.0412805391744
3219,CLIC1,672.025,0.0,98.0360151642797
13842,RPL18,669.769,0.0,98.03074978938501
13678,RNASE2,669.714,0.0,98.02548441449032
4831,EIF5AL1,668.628,0.0,98.02021903959563
13885,RPLP1,668.244,0.0,98.01495366470093
11789,PDIA4,667.887,0.0,98.00968828980623
13462,REG1B,667.528,0.0,98.00442291491154
